3901	0.7214144252839829	0.013544052019168315	H1-hESC	Embryo	Stem
54397	0.8056562259409127	-0.047378229141192524	hESC-Derived-CD56+_Mesoderm_Cultured	Embryo	Mesenchyme
68517	0.8217417197475789	0.005656298681520341	None	Brain	Neurons
60108	0.816987388439335	0.07854561844004121	H7	Embryo	Stem
60111	0.849304451076893	-0.04180394454383747	None	Embryo	Epithelium
54440	0.8559516875753801	-0.0036237612591135614	None	Bladder	Epithelium
54594	0.8533284941259561	-0.0026286939163829895	MCF-7	Breast	Epithelium
60029	0.8577338871646667	0.007359611230482481	GM19204	Blood	Lymphoblastoid
62461	0.8586441011556067	-0.015258812375875314	CD4+CD25-CD45RA-_expanded_memory_conventional_T-cells	Blood	Blood
54488	0.8583866060038087	0.008996150356510805	None	Placenta	Placenta
AUC = 0.836
