CHD8_51103	AUC = 0.557
SMARCA4_64634	AUC = 0.557
SMC3_34011	AUC = 0.557
CTCF_50987	AUC = 0.556
CTCF_58489	AUC = 0.556
H3F3A_64212	AUC = 0.556
CTCF_70062	AUC = 0.555
CTCF_58490	AUC = 0.555
CTCF_51438	AUC = 0.554
SMAD3_276	AUC = 0.554
YY1_46021	AUC = 0.554
GATA4_51464	AUC = 0.554
GATA4_51467	AUC = 0.553
SMARCA4_64633	AUC = 0.553
GATA6_51482	AUC = 0.552
FOXP1_1013	AUC = 0.552
POLR2A_53665	AUC = 0.551
CTCF_50990	AUC = 0.550
CTCF_50988	AUC = 0.550
SRF_51594	AUC = 0.550
MED1_58483	AUC = 0.549
POU5F1_63393	AUC = 0.549
CTCF_58481	AUC = 0.549
CTCF_58480	AUC = 0.548
SIX2_69249	AUC = 0.548
CTCF_57283	AUC = 0.548
CTCF_35846	AUC = 0.547
CTCF_8086	AUC = 0.547
TP53_40287	AUC = 0.547
FOXA2_52681	AUC = 0.547
ETS1_63824	AUC = 0.547
SRF_46167	AUC = 0.547
CTCF_64047	AUC = 0.547
CTCF_64048	AUC = 0.546
POLR2A_53662	AUC = 0.545
GATA6_51480	AUC = 0.544
TP53_52167	AUC = 0.544
EP300_45242	AUC = 0.544
EP300_8817	AUC = 0.544
OTX2_74361	AUC = 0.544
NUP98-HOXA9_72703	AUC = 0.544
ASCL1_49723	AUC = 0.544
SRF_51592	AUC = 0.543
CTCF_51443	AUC = 0.543
SETDB1_71056	AUC = 0.543
POLR2A_53666	AUC = 0.543
RBBP5_8819	AUC = 0.543
CTCF_57284	AUC = 0.542
TP53_44769	AUC = 0.542
NFE2_63877	AUC = 0.542
SMAD1_51554	AUC = 0.542
SIN3A_46183	AUC = 0.541
OTX2_74356	AUC = 0.541
CTCF_75572	AUC = 0.541
CTCF_75575	AUC = 0.541
CHD1_45686	AUC = 0.541
SIX2_67424	AUC = 0.541
SIX2_69248	AUC = 0.541
OTX2_74362	AUC = 0.540
CTCF_50991	AUC = 0.540
CTCF_75573	AUC = 0.540
OTX2_74345	AUC = 0.540
CTCF_75574	AUC = 0.539
MXI1_45695	AUC = 0.539
POLR2A_53664	AUC = 0.538
RBBP5_45232	AUC = 0.538
OTX2_74354	AUC = 0.538
GTF2F1_45683	AUC = 0.538
OTX2_74358	AUC = 0.537
CTCF_46048	AUC = 0.537
GTF2I_50695	AUC = 0.537
CTCF_46047	AUC = 0.536
CTCF_42150	AUC = 0.536
RAD21_42951	AUC = 0.536
CTCF_42153	AUC = 0.536
ZNF281_65127	AUC = 0.536
SMC1A_75568	AUC = 0.536
CTCF_46009	AUC = 0.536
CTCF_45847	AUC = 0.536
FOXA1_51453	AUC = 0.535
SIX2_69247	AUC = 0.535
CTCF_49479	AUC = 0.535
RNF2_5603	AUC = 0.535
CTCF_45574	AUC = 0.535
OTX2_74344	AUC = 0.535
RAD21_42845	AUC = 0.535
CTCF_3057	AUC = 0.535
EP300_57305	AUC = 0.535
CTCF_42154	AUC = 0.535
OTX2_74353	AUC = 0.535
CTCF_8103	AUC = 0.534
CTCF_45846	AUC = 0.534
CTCF_46091	AUC = 0.534
CTCF_42151	AUC = 0.534
ATF4_54140	AUC = 0.534
RAD21_42957	AUC = 0.534
CTCF_45573	AUC = 0.534
OTX2_74355	AUC = 0.534
CTCF_45721	AUC = 0.534
SMC3_2899	AUC = 0.534
CTCF_42152	AUC = 0.533
CTCF_45845	AUC = 0.533
NR2F1_56817	AUC = 0.533
SOX2_33217	AUC = 0.533
FOXA2_51457	AUC = 0.533
CTCF_36573	AUC = 0.532
TRIM28_70221	AUC = 0.532
CTCF_76248	AUC = 0.532
ATF7IP_71057	AUC = 0.532
GATA6_51478	AUC = 0.532
CTCF_45706	AUC = 0.532
CTCF_76252	AUC = 0.532
POLR2A_45875	AUC = 0.532
CTCF_8104	AUC = 0.532
CTCF_33561	AUC = 0.532
CTCF_76247	AUC = 0.532
CTCF_45795	AUC = 0.532
CTCF_45703	AUC = 0.531
SIX2_67425	AUC = 0.531
SIX2_69246	AUC = 0.531
CTCF_45844	AUC = 0.531
CTCF_42157	AUC = 0.531
CTCF_51441	AUC = 0.531
CTCF_42159	AUC = 0.531
OTX2_74359	AUC = 0.531
OTX2_74351	AUC = 0.530
CTCF_36612	AUC = 0.530
CTCF_45303	AUC = 0.530
CTCF_42148	AUC = 0.530
RAD21_45966	AUC = 0.530
CTCF_55728	AUC = 0.530
CTCF_45717	AUC = 0.530
CTCF_51444	AUC = 0.530
CTCF_45834	AUC = 0.530
CTCF_39736	AUC = 0.530
GTF2I_50712	AUC = 0.530
SMC1A_71873	AUC = 0.530
CTCF_67699	AUC = 0.530
CTCF_45808	AUC = 0.530
CTCF_45577	AUC = 0.529
CTCF_55778	AUC = 0.529
POLR2A_49547	AUC = 0.529
CTCF_45704	AUC = 0.529
GTF2I_50709	AUC = 0.529
CTCF_47476	AUC = 0.529
CTCF_45716	AUC = 0.529
CTCF_36602	AUC = 0.529
FLI1_49872	AUC = 0.529
CTCF_46028	AUC = 0.529
CTCF_42149	AUC = 0.529
PRDM14_966	AUC = 0.529
CTCF_75557	AUC = 0.529
CTCF_45455	AUC = 0.529
CTCF_72978	AUC = 0.529
CTCF_42918	AUC = 0.529
POLR2A_53663	AUC = 0.529
ZBTB2_74659	AUC = 0.529
5MC_55284	AUC = 0.529
CTCF_45550	AUC = 0.528
OTX2_74352	AUC = 0.528
CTCF_36610	AUC = 0.528
RAD21_67698	AUC = 0.528
CTCF_75558	AUC = 0.528
ASCL1_49726	AUC = 0.528
CTCF_42158	AUC = 0.528
CTCF_72779	AUC = 0.528
CTCF_45707	AUC = 0.528
CTCF_45913	AUC = 0.528
CTCF_47477	AUC = 0.528
CTCF_45578	AUC = 0.528
CTCF_39737	AUC = 0.528
H3F3A_64211	AUC = 0.528
CTCF_1381	AUC = 0.528
CTCF_71103	AUC = 0.528
CTCF_45718	AUC = 0.528
SIX1_76587	AUC = 0.528
CTCF_50989	AUC = 0.527
5MC_55287	AUC = 0.527
ASCL1_70121	AUC = 0.527
CTCF_71105	AUC = 0.527
5MC_55289	AUC = 0.527
CTCF_71106	AUC = 0.527
HDAC2_45222	AUC = 0.527
HDAC2_8810	AUC = 0.527
CTCF_45720	AUC = 0.527
NOTCH1_73405	AUC = 0.527
CTCF_45323	AUC = 0.527
CTCF_71104	AUC = 0.527
CTCF_46013	AUC = 0.527
H2AZ_9488	AUC = 0.527
CTCF_58363	AUC = 0.526
CTCF_42932	AUC = 0.526
CTCF_47474	AUC = 0.526
CTCF_72362	AUC = 0.526
CTCF_76249	AUC = 0.526
CTCF_58361	AUC = 0.526
ASCL1_70122	AUC = 0.526
SOX2_33707	AUC = 0.526
CTCF_58360	AUC = 0.526
SMC3_41382	AUC = 0.526
CTCF_72977	AUC = 0.526
SMC3_42945	AUC = 0.526
HAP1_75571	AUC = 0.526
CTCF_45833	AUC = 0.526
SIX1_72383	AUC = 0.526
CTCF_45705	AUC = 0.526
NR2F1_35628	AUC = 0.526
CTCF_46016	AUC = 0.526
CTCF_46029	AUC = 0.526
ASCL1_70119	AUC = 0.526
CTCF_45912	AUC = 0.526
SOX2_33219	AUC = 0.525
CTCF_35405	AUC = 0.525
ASCL1_49724	AUC = 0.525
CTCF_47475	AUC = 0.525
CTCF_45710	AUC = 0.525
CTCF_1383	AUC = 0.525
CTCF_45975	AUC = 0.525
CTCF_55727	AUC = 0.525
CTCF_72781	AUC = 0.525
POLR2A_53669	AUC = 0.525
CTCF_45144	AUC = 0.525
CTCF_45734	AUC = 0.525
CTCF_55781	AUC = 0.525
FOXA1_52678	AUC = 0.525
CTCF_35447	AUC = 0.525
CTCF_45712	AUC = 0.525
CTCF_72780	AUC = 0.524
CTCF_42155	AUC = 0.524
CTCF_58362	AUC = 0.524
CTCF_1382	AUC = 0.524
CTCF_45551	AUC = 0.524
CTCF_45794	AUC = 0.524
CTCF_46050	AUC = 0.524
POLR2A_46199	AUC = 0.524
CTCF_5830	AUC = 0.524
CTCF_42650	AUC = 0.524
CTCF_3058	AUC = 0.524
EP300_56816	AUC = 0.524
CTCF_3053	AUC = 0.524
CTCF_46063	AUC = 0.524
CTCF_35416	AUC = 0.524
CTCF_46367	AUC = 0.524
CTCF_75556	AUC = 0.524
SRF_51596	AUC = 0.523
CTCF_5828	AUC = 0.523
CTCF_45733	AUC = 0.523
FOXA2_52682	AUC = 0.523
CTCF_45593	AUC = 0.523
CTCF_3051	AUC = 0.523
CTCF_45494	AUC = 0.523
CTCF_45987	AUC = 0.523
CTCF_76251	AUC = 0.523
GTF2I_50708	AUC = 0.523
CTCF_45566	AUC = 0.523
CTCF_46043	AUC = 0.523
CTCF_75555	AUC = 0.523
CTCF_45843	AUC = 0.523
CTCF_42156	AUC = 0.523
CTCF_45858	AUC = 0.523
CTCF_45588	AUC = 0.523
CTCF_45623	AUC = 0.523
CTCF_46042	AUC = 0.523
CTCF_45838	AUC = 0.523
CTCF_45855	AUC = 0.523
CTCF_8088	AUC = 0.523
CTCF_3059	AUC = 0.522
CTCF_35406	AUC = 0.522
CTCF_47896	AUC = 0.522
CTCF_45835	AUC = 0.522
CTCF_55782	AUC = 0.522
CTCF_45842	AUC = 0.522
CTCF_45146	AUC = 0.522
CTCF_45563	AUC = 0.522
CTCF_45976	AUC = 0.522
POLR2A_49548	AUC = 0.522
OTX2_74349	AUC = 0.522
CTCF_75553	AUC = 0.522
CTCF_8089	AUC = 0.521
TFAP2A_56819	AUC = 0.521
CTCF_45850	AUC = 0.521
CTCF_36636	AUC = 0.521
CTCF_45334	AUC = 0.521
CTCF_75554	AUC = 0.521
POLR2AphosphoS5_64761	AUC = 0.521
CTCF_45571	AUC = 0.521
CHD1_45237	AUC = 0.521
RAD21_42942	AUC = 0.521
CTCF_3050	AUC = 0.521
CTCF_5040	AUC = 0.521
CTCF_45859	AUC = 0.521
CTCF_45564	AUC = 0.521
CTCF_45711	AUC = 0.521
RAD21_42706	AUC = 0.521
BRCA1_45698	AUC = 0.521
CTCF_45359	AUC = 0.520
CTCF_45395	AUC = 0.520
OTX2_74350	AUC = 0.520
CTCF_6572	AUC = 0.520
CTCF_46053	AUC = 0.520
CTCF_47897	AUC = 0.520
CTCF_46373	AUC = 0.520
CTCF_6576	AUC = 0.520
RAD21_1471	AUC = 0.520
CTCF_45832	AUC = 0.520
PDX1_52147	AUC = 0.520
CTCF_35387	AUC = 0.520
CTCF_45836	AUC = 0.520
REST_46198	AUC = 0.520
CTCF_45347	AUC = 0.520
ZNF654_63738	AUC = 0.520
CTCF_45839	AUC = 0.520
CTCF_36575	AUC = 0.520
CTCF_55783	AUC = 0.520
CTCF_45719	AUC = 0.520
CTCF_46250	AUC = 0.520
ZNF468_77113	AUC = 0.519
CTCF_45899	AUC = 0.519
CTCF_48757	AUC = 0.519
CTCF_35924	AUC = 0.519
MBD2_40334	AUC = 0.519
CTCF_42415	AUC = 0.519
TFAP2A_56821	AUC = 0.519
BRD2_49543	AUC = 0.519
CTCF_5039	AUC = 0.519
CTCF_36616	AUC = 0.519
ZNF654_63737	AUC = 0.519
EP300_57303	AUC = 0.519
CTCF_36650	AUC = 0.519
CTCF_45840	AUC = 0.518
CTCF_41283	AUC = 0.518
CTCF_35392	AUC = 0.518
TFAP2A_56820	AUC = 0.518
CTCF_45708	AUC = 0.518
ZNF282_77148	AUC = 0.518
SMC3_45914	AUC = 0.518
CTCF_71679	AUC = 0.518
CTCF_46018	AUC = 0.518
CTCF_42400	AUC = 0.518
SMC1A_75569	AUC = 0.518
CTCF_45601	AUC = 0.517
RAD21_46088	AUC = 0.517
CTCF_71678	AUC = 0.517
NEUROD1_74360	AUC = 0.517
CTCF_48482	AUC = 0.517
CTCF_35380	AUC = 0.517
CTCF_46049	AUC = 0.517
CTCF_35412	AUC = 0.517
CTCF_45575	AUC = 0.517
CTCF_45988	AUC = 0.517
NEUROD1_74343	AUC = 0.517
SMC1A_75570	AUC = 0.517
CTCF_43831	AUC = 0.517
CTCF_45841	AUC = 0.517
CTCF_45596	AUC = 0.517
CTCF_46017	AUC = 0.517
CTCF_46271	AUC = 0.517
ASCL1_49727	AUC = 0.517
CTCF_46031	AUC = 0.517
CTCF_45279	AUC = 0.516
CTCF_45561	AUC = 0.516
CTCF_45572	AUC = 0.516
CTCF_38197	AUC = 0.516
CTCF_45565	AUC = 0.516
CTCF_45589	AUC = 0.516
CTCF_2255	AUC = 0.516
CTCF_6574	AUC = 0.516
CTCF_6573	AUC = 0.516
CTCF_38192	AUC = 0.516
CTCF_3049	AUC = 0.516
CTCF_71677	AUC = 0.516
CTCF_45709	AUC = 0.516
CTCF_42256	AUC = 0.516
CTCF_45581	AUC = 0.516
GTF2I_50698	AUC = 0.516
CTCF_42848	AUC = 0.516
ATF3_46174	AUC = 0.516
CHD1_8806	AUC = 0.516
CTCF_42385	AUC = 0.515
SMARCC1_72114	AUC = 0.515
CTCF_65095	AUC = 0.515
CTCF_45568	AUC = 0.515
ZNF467_65062	AUC = 0.515
5MC_70101	AUC = 0.515
POLR2A_51537	AUC = 0.515
CTCF_45592	AUC = 0.515
SMARCA4_72113	AUC = 0.515
CTCF_46015	AUC = 0.515
CTCF_46030	AUC = 0.515
CTCF_45582	AUC = 0.515
CTCF_46035	AUC = 0.515
CTCF_45604	AUC = 0.515
SMC3_63687	AUC = 0.515
CTCF_45680	AUC = 0.515
CTCF_55770	AUC = 0.515
CTCF_1936	AUC = 0.515
SMC1A_71876	AUC = 0.515
CTCF_45597	AUC = 0.515
CTCF_45591	AUC = 0.515
CTCF_42370	AUC = 0.515
DMC1_50422	AUC = 0.514
CTCF_39973	AUC = 0.514
CTCF_46014	AUC = 0.514
CTCF_45851	AUC = 0.514
SMARCA4_72121	AUC = 0.514
CTCF_45595	AUC = 0.514
CTCF_45622	AUC = 0.514
CTCF_45600	AUC = 0.514
CTCF_3056	AUC = 0.514
CTCF_42430	AUC = 0.514
POLR2AphosphoS5_64760	AUC = 0.514
CTCF_45556	AUC = 0.514
JMJD6_43064	AUC = 0.514
CTCF_73002	AUC = 0.514
CTCF_45504	AUC = 0.514
RFX5_45692	AUC = 0.514
CTCF_45837	AUC = 0.514
CTCF_5041	AUC = 0.514
CTCF_48481	AUC = 0.513
CTCF_55774	AUC = 0.513
CTCF_45713	AUC = 0.513
CTCF_45590	AUC = 0.513
CTCF_39974	AUC = 0.513
CTCF_45567	AUC = 0.513
STAG1_42382	AUC = 0.513
CTCF_38185	AUC = 0.513
STAG1_42846	AUC = 0.513
SMC3_63688	AUC = 0.513
CTCF_39975	AUC = 0.513
CTCF_39971	AUC = 0.513
CTCF_45599	AUC = 0.513
EP300_56814	AUC = 0.513
RAD21_43832	AUC = 0.512
CTCF_45562	AUC = 0.512
TET2_70097	AUC = 0.512
CTCF_63479	AUC = 0.512
RAD21_56038	AUC = 0.512
CTCF_45602	AUC = 0.512
SOX2_44224	AUC = 0.512
CTCF_45218	AUC = 0.512
CTCF_39970	AUC = 0.512
NEUROD1_74341	AUC = 0.512
CTCF_1203	AUC = 0.512
CEBPB_54138	AUC = 0.512
CTCF_45569	AUC = 0.512
CTCF_45526	AUC = 0.512
NEUROD1_70118	AUC = 0.512
LMNA_72793	AUC = 0.512
CTCF_2254	AUC = 0.512
CTCF_6575	AUC = 0.512
CTCF_45603	AUC = 0.512
ZNF282_77149	AUC = 0.511
CTCF_45576	AUC = 0.511
PRDM1_51434	AUC = 0.511
STAG1_8673	AUC = 0.511
CTCF_46318	AUC = 0.511
GTF2I_50700	AUC = 0.511
CTCF_71680	AUC = 0.511
CTCF_46023	AUC = 0.511
CTCF_35929	AUC = 0.511
CTCF_45570	AUC = 0.511
CTCF_45760	AUC = 0.511
CTCF_8087	AUC = 0.511
NEUROD1_74342	AUC = 0.511
CTCF_73001	AUC = 0.511
CTCF_45472	AUC = 0.511
MBD2_48127	AUC = 0.510
CTCF_38196	AUC = 0.510
RAD21_1470	AUC = 0.510
CTCF_45598	AUC = 0.510
RAD21_45554	AUC = 0.510
SMARCC1_72120	AUC = 0.510
CTCF_45594	AUC = 0.510
CTCF_1380	AUC = 0.510
CTCF_63480	AUC = 0.510
NR2F1_56818	AUC = 0.510
STAG1_42427	AUC = 0.510
POLR2A_47496	AUC = 0.510
CHD8_49778	AUC = 0.510
CTCF_40379	AUC = 0.509
CTCF_45908	AUC = 0.509
TFAP2A_36958	AUC = 0.509
CTCF_45584	AUC = 0.508
CTCF_45667	AUC = 0.508
RAD21_45818	AUC = 0.508
GTF2I_50714	AUC = 0.508
CTCF_42399	AUC = 0.508
CTCF_39972	AUC = 0.508
CTCF_45666	AUC = 0.508
EP300_56815	AUC = 0.507
SMC3_62505	AUC = 0.507
CTCF_45865	AUC = 0.507
CTCF_38204	AUC = 0.507
CDX2_36712	AUC = 0.507
NFE2L1_63894	AUC = 0.507
CTCF_45645	AUC = 0.507
POLR3D_68064	AUC = 0.507
STAG1_1493	AUC = 0.507
SMARCA4_72119	AUC = 0.506
ETS1_63823	AUC = 0.506
RAD21_46275	AUC = 0.506
CTCFL_42819	AUC = 0.506
TET2_70099	AUC = 0.506
CTCF_45974	AUC = 0.506
STAG1_42412	AUC = 0.505
POLR2A_59553	AUC = 0.505
CTCF_38188	AUC = 0.505
SRF_51595	AUC = 0.505
552-SKD_49463	AUC = 0.505
POLR2A_53668	AUC = 0.505
PRDM6_65125	AUC = 0.505
CTCF_38774	AUC = 0.505
CTCF_53885	AUC = 0.505
CTCF_3054	AUC = 0.505
CTCF_75848	AUC = 0.505
STAG1_1492	AUC = 0.505
GTF2I_50713	AUC = 0.505
RAD21_56037	AUC = 0.504
CTCF_65094	AUC = 0.504
CTCF_45977	AUC = 0.504
RAD21_46041	AUC = 0.504
CTCF_54151	AUC = 0.504
CTCF_42429	AUC = 0.504
TP53_33080	AUC = 0.504
BRD4_39035	AUC = 0.504
POLR3D_68062	AUC = 0.504
CTCF_46218	AUC = 0.504
CTCF_45579	AUC = 0.503
CTCF_45189	AUC = 0.503
598-SKD_49466	AUC = 0.503
CTCF_65093	AUC = 0.503
CTCF_33556	AUC = 0.503
CTCF_45585	AUC = 0.503
FLI1_49879	AUC = 0.503
GRHL3_74687	AUC = 0.503
POU5F1_33713	AUC = 0.503
CTCF_65097	AUC = 0.503
NEUROD1_74348	AUC = 0.503
CTCF_71669	AUC = 0.502
POLR2A_55679	AUC = 0.502
ZNF22_65178	AUC = 0.502
SMC3_46040	AUC = 0.502
HOXC9_43893	AUC = 0.502
TP73_6546	AUC = 0.502
7SK_43084	AUC = 0.502
CTCF_65090	AUC = 0.502
NEUROD1_74357	AUC = 0.502
552-SKD_49464	AUC = 0.502
CTCF_69627	AUC = 0.501
MBD2_48822	AUC = 0.501
CTCF_75847	AUC = 0.501
POLR2A_76418	AUC = 0.501
MED1_73444	AUC = 0.501
RAD21_46252	AUC = 0.501
POLR3D_68068	AUC = 0.501
EP300_57301	AUC = 0.501
PDX1_49200	AUC = 0.501
KDM1A_55323	AUC = 0.501
CTCF_5051	AUC = 0.501
TEAD4_70162	AUC = 0.501
CTCF_42369	AUC = 0.501
ZNF384_65106	AUC = 0.501
CTCF_63328	AUC = 0.501
CTCF_69619	AUC = 0.501
FOXA2_52684	AUC = 0.500
POLR2A_46339	AUC = 0.500
POLR3D_68061	AUC = 0.500
SRF_51591	AUC = 0.500
POLR2A_59552	AUC = 0.500
CTCF_42414	AUC = 0.500
ATF4_54139	AUC = 0.500
SMAD1_8415	AUC = 0.500
PBX3_56901	AUC = 0.500
GTF2I_50715	AUC = 0.500
STAG1_42269	AUC = 0.500
SP140_77332	AUC = 0.500
CTCF_9316	AUC = 0.500
CDCA2_76854	AUC = 0.499
RAD21_46366	AUC = 0.499
TCF7L2_45723	AUC = 0.499
RAD21_42928	AUC = 0.499
CTCF_71670	AUC = 0.499
SUMO1_34357	AUC = 0.499
CTCF_45558	AUC = 0.499
POLR2A_38292	AUC = 0.499
WDR5_33917	AUC = 0.499
HOXC9_43894	AUC = 0.499
CEBPB_54137	AUC = 0.499
SUMO1_34368	AUC = 0.498
TP73_6545	AUC = 0.498
SMARCB1_33865	AUC = 0.498
SUMO1_34370	AUC = 0.498
STAG1_42397	AUC = 0.498
NR2F2_35621	AUC = 0.498
CTCF_3060	AUC = 0.498
CTCF_45995	AUC = 0.498
FOSL1_46175	AUC = 0.498
RAD21_2391	AUC = 0.498
7SK_43087	AUC = 0.497
FOXA2_52683	AUC = 0.497
NFE2_45906	AUC = 0.497
POLR3D_68063	AUC = 0.497
CTCF_42255	AUC = 0.497
RAD21_56057	AUC = 0.497
ZBTB48_75278	AUC = 0.497
TRIM28_49608	AUC = 0.497
ASCL1_70120	AUC = 0.497
ZFP57_73979	AUC = 0.496
POLR2A_76222	AUC = 0.496
NFE2L1_64081	AUC = 0.496
CTCF_63868	AUC = 0.496
ZNF680_73932	AUC = 0.496
POLR2A_57812	AUC = 0.496
7SK_43086	AUC = 0.496
RBPJ_73408	AUC = 0.496
MAX_38289	AUC = 0.496
SMC1A_71867	AUC = 0.496
SP140_77331	AUC = 0.496
CTCF_38203	AUC = 0.495
RAD21_56039	AUC = 0.495
DUX4_5822	AUC = 0.495
MAX_33177	AUC = 0.495
CTCF_5047	AUC = 0.495
CTCF_38194	AUC = 0.495
SUMO1_34373	AUC = 0.495
SMC3_45816	AUC = 0.495
